DATE,M2NS
1966-12-01,483.7
1967-01-01,486.4
1967-02-01,483.6
1967-03-01,488.1
1967-04-01,492.9
1967-05-01,493.3
1967-06-01,500.9
1967-07-01,506.2
1967-08-01,508.6
1967-09-01,514.2
1967-10-01,519.3
1967-11-01,521.6
1967-12-01,528.0
1968-01-01,531.9
1968-02-01,528.1
1968-03-01,531.6
1968-04-01,536.9
1968-05-01,535.4
1968-06-01,542.2
1968-07-01,546.2
1968-08-01,547.6
1968-09-01,553.1
1968-10-01,558.5
1968-11-01,562.5
1968-12-01,569.7
1969-01-01,573.5
1969-02-01,569.1
1969-03-01,572.8
1969-04-01,577.4
1969-05-01,573.5
1969-06-01,578.7
1969-07-01,580.6
1969-08-01,578.4
1969-09-01,581.3
1969-10-01,583.7
1969-11-01,584.8
1969-12-01,590.1
1970-01-01,592.0
1970-02-01,583.4
1970-03-01,587.3
1970-04-01,592.9
1970-05-01,590.8
1970-06-01,597.5
1970-07-01,601.2
1970-08-01,603.0
1970-09-01,608.7
1970-10-01,614.0
1970-11-01,618.2
1970-12-01,627.8
1971-01-01,635.5
1971-02-01,638.0
1971-03-01,650.0
1971-04-01,663.5
1971-05-01,666.1
1971-06-01,675.9
1971-07-01,682.3
1971-08-01,683.7
1971-09-01,689.7
1971-10-01,695.6
1971-11-01,701.2
1971-12-01,711.2
1972-01-01,720.0
1972-02-01,722.2
1972-03-01,733.7
1972-04-01,743.8
1972-05-01,742.6
1972-06-01,753.2
1972-07-01,763.0
1972-08-01,767.0
1972-09-01,775.2
1972-10-01,783.6
1972-11-01,790.2
1972-12-01,803.1
1973-01-01,812.3
1973-02-01,810.1
1973-03-01,815.6
1973-04-01,825.4
1973-05-01,825.8
1973-06-01,837.2
1973-07-01,840.7
1973-08-01,837.4
1973-09-01,836.0
1973-10-01,839.3
1973-11-01,845.3
1973-12-01,856.5
1974-01-01,861.5
1974-02-01,859.8
1974-03-01,869.9
1974-04-01,878.6
1974-05-01,873.4
1974-06-01,881.9
1974-07-01,886.0
1974-08-01,882.9
1974-09-01,884.7
1974-10-01,890.4
1974-11-01,895.4
1974-12-01,903.5
1975-01-01,908.0
1975-02-01,908.7
1975-03-01,924.4
1975-04-01,941.1
1975-05-01,946.2
1975-06-01,966.9
1975-07-01,979.7
1975-08-01,982.4
1975-09-01,988.4
1975-10-01,995.6
1975-11-01,1004.8
1975-12-01,1017.8
1976-01-01,1028.3
1976-02-01,1034.2
1976-03-01,1047.7
1976-04-01,1066.9
1976-05-01,1070.3
1976-06-01,1080.8
1976-07-01,1091.6
1976-08-01,1097.3
1976-09-01,1108.4
1976-10-01,1125.1
1976-11-01,1135.0
1976-12-01,1153.5
1977-01-01,1167.5
1977-02-01,1169.9
1977-03-01,1185.3
1977-04-01,1206.6
1977-05-01,1205.5
1977-06-01,1219.8
1977-07-01,1232.9
1977-08-01,1235.3
1977-09-01,1244.7
1977-10-01,1255.9
1977-11-01,1260.2
1977-12-01,1273.0
1978-01-01,1282.3
1978-02-01,1276.8
1978-03-01,1288.2
1978-04-01,1307.4
1978-05-01,1304.8
1978-06-01,1319.0
1978-07-01,1330.1
1978-08-01,1331.4
1978-09-01,1344.7
1978-10-01,1355.3
1978-11-01,1358.1
1978-12-01,1370.8
1979-01-01,1375.2
1979-02-01,1369.3
1979-03-01,1384.0
1979-04-01,1408.4
1979-05-01,1402.7
1979-06-01,1422.5
1979-07-01,1439.3
1979-08-01,1444.3
1979-09-01,1454.5
1979-10-01,1463.6
1979-11-01,1466.4
1979-12-01,1479.0
1980-01-01,1486.2
1980-02-01,1486.3
1980-03-01,1497.2
1980-04-01,1507.7
1980-05-01,1504.2
1980-06-01,1527.4
1980-07-01,1549.1
1980-08-01,1560.7
1980-09-01,1573.1
1980-10-01,1588.5
1980-11-01,1599.0
1980-12-01,1604.8
1981-01-01,1610.6
1981-02-01,1610.5
1981-03-01,1633.2
1981-04-01,1664.5
1981-05-01,1655.4
1981-06-01,1667.1
1981-07-01,1685.1
1981-08-01,1694.6
1981-09-01,1706.4
1981-10-01,1726.4
1981-11-01,1741.0
1981-12-01,1760.3
1982-01-01,1772.8
1982-02-01,1765.3
1982-03-01,1781.7
1982-04-01,1807.9
1982-05-01,1804.9
1982-06-01,1822.7
1982-07-01,1835.0
1982-08-01,1845.9
1982-09-01,1859.0
1982-10-01,1875.6
1982-11-01,1890.1
1982-12-01,1913.8
1983-01-01,1963.9
1983-02-01,1985.8
1983-03-01,2009.6
1983-04-01,2033.7
1983-05-01,2031.7
1983-06-01,2051.8
1983-07-01,2069.7
1983-08-01,2072.5
1983-09-01,2081.1
1983-10-01,2102.1
1983-11-01,2117.6
1983-12-01,2134.0
1984-01-01,2145.0
1984-02-01,2147.7
1984-03-01,2169.0
1984-04-01,2196.0
1984-05-01,2191.4
1984-06-01,2214.3
1984-07-01,2228.0
1984-08-01,2228.9
1984-09-01,2242.8
1984-10-01,2259.7
1984-11-01,2286.3
1984-12-01,2318.5
1985-01-01,2339.6
1985-02-01,2343.4
1985-03-01,2360.4
1985-04-01,2379.7
1985-05-01,2376.4
1985-06-01,2413.4
1985-07-01,2434.8
1985-08-01,2442.5
1985-09-01,2452.7
1985-10-01,2466.3
1985-11-01,2482.0
1985-12-01,2504.1
1986-01-01,2510.8
1986-02-01,2502.1
1986-03-01,2527.6
1986-04-01,2564.8
1986-05-01,2571.1
1986-06-01,2605.3
1986-07-01,2632.4
1986-08-01,2645.9
1986-09-01,2661.7
1986-10-01,2684.4
1986-11-01,2705.2
1986-12-01,2740.7
1987-01-01,2753.5
1987-02-01,2735.2
1987-03-01,2748.0
1987-04-01,2778.9
1987-05-01,2759.7
1987-06-01,2773.4
1987-07-01,2785.2
1987-08-01,2787.5
1987-09-01,2793.3
1987-10-01,2811.2
1987-11-01,2821.6
1987-12-01,2838.3
1988-01-01,2857.2
1988-02-01,2858.8
1988-03-01,2886.7
1988-04-01,2925.3
1988-05-01,2910.7
1988-06-01,2935.3
1988-07-01,2953.2
1988-08-01,2949.8
1988-09-01,2950.1
1988-10-01,2962.0
1988-11-01,2982.7
1988-12-01,3000.6
1989-01-01,2998.9
1989-02-01,2982.6
1989-03-01,2999.0
1989-04-01,3023.2
1989-05-01,2996.0
1989-06-01,3022.6
1989-07-01,3055.6
1989-08-01,3071.1
1989-09-01,3086.3
1989-10-01,3109.3
1989-11-01,3136.0
1989-12-01,3165.6
1990-01-01,3170.4
1990-02-01,3170.5
1990-03-01,3192.6
1990-04-01,3219.8
1990-05-01,3186.7
1990-06-01,3210.8
1990-07-01,3224.5
1990-08-01,3238.7
1990-09-01,3249.0
1990-10-01,3253.7
1990-11-01,3265.3
1990-12-01,3285.1
1991-01-01,3289.3
1991-02-01,3296.3
1991-03-01,3327.3
1991-04-01,3349.5
1991-05-01,3330.3
1991-06-01,3349.7
1991-07-01,3354.4
1991-08-01,3351.4
1991-09-01,3347.6
1991-10-01,3353.8
1991-11-01,3371.2
1991-12-01,3386.4
1992-01-01,3383.2
1992-02-01,3390.1
1992-03-01,3404.8
1992-04-01,3418.9
1992-05-01,3388.0
1992-06-01,3388.7
1992-07-01,3393.2
1992-08-01,3396.5
1992-09-01,3401.2
1992-10-01,3418.7
1992-11-01,3433.4
1992-12-01,3441.3
1993-01-01,3423.6
1993-02-01,3400.7
1993-03-01,3410.5
1993-04-01,3430.4
1993-05-01,3425.0
1993-06-01,3439.5
1993-07-01,3442.6
1993-08-01,3440.9
1993-09-01,3443.5
1993-10-01,3452.7
1993-11-01,3474.7
1993-12-01,3495.1
1994-01-01,3480.1
1994-02-01,3459.7
1994-03-01,3477.2
1994-04-01,3503.1
1994-05-01,3474.5
1994-06-01,3477.4
1994-07-01,3491.5
1994-08-01,3481.6
1994-09-01,3476.8
1994-10-01,3478.2
1994-11-01,3491.8
1994-12-01,3507.8
1995-01-01,3495.3
1995-02-01,3474.9
1995-03-01,3491.7
1995-04-01,3522.4
1995-05-01,3506.7
1995-06-01,3545.5
1995-07-01,3569.7
1995-08-01,3585.2
1995-09-01,3594.6
1995-10-01,3602.3
1995-11-01,3622.9
1995-12-01,3653.3
1996-01-01,3651.3
1996-02-01,3647.5
1996-03-01,3694.1
1996-04-01,3720.7
1996-05-01,3690.3
1996-06-01,3721.2
1996-07-01,3734.4
1996-08-01,3741.8
1996-09-01,3744.4
1996-10-01,3757.0
1996-11-01,3792.3
1996-12-01,3831.7
1997-01-01,3829.6
1997-02-01,3825.1
1997-03-01,3863.2
1997-04-01,3895.9
1997-05-01,3859.6
1997-06-01,3889.6
1997-07-01,3908.7
1997-08-01,3943.3
1997-09-01,3951.7
1997-10-01,3967.3
1997-11-01,4005.9
1997-12-01,4045.2
1998-01-01,4052.5
1998-02-01,4070.1
1998-03-01,4121.8
1998-04-01,4164.6
1998-05-01,4134.0
1998-06-01,4164.7
1998-07-01,4183.3
1998-08-01,4210.4
1998-09-01,4244.5
1998-10-01,4281.5
1998-11-01,4336.4
1998-12-01,4390.2
1999-01-01,4400.0
1999-02-01,4409.1
1999-03-01,4446.0
1999-04-01,4491.8
1999-05-01,4454.4
1999-06-01,4485.0
1999-07-01,4509.8
1999-08-01,4529.6
1999-09-01,4543.3
1999-10-01,4565.0
1999-11-01,4600.3
1999-12-01,4654.6
2000-01-01,4662.6
2000-02-01,4664.5
2000-03-01,4726.0
2000-04-01,4796.0
2000-05-01,4722.2
2000-06-01,4747.5
2000-07-01,4763.7
2000-08-01,4794.2
2000-09-01,4829.7
2000-10-01,4843.5
2000-11-01,4871.4
2000-12-01,4942.3
2001-01-01,4968.2
2001-02-01,4997.0
2001-03-01,5087.2
2001-04-01,5163.2
2001-05-01,5100.1
2001-06-01,5149.3
2001-07-01,5177.9
2001-08-01,5213.9
2001-09-01,5324.8
2001-10-01,5307.7
2001-11-01,5370.6
2001-12-01,5450.7
2002-01-01,5436.9
2002-02-01,5456.4
2002-03-01,5505.3
2002-04-01,5519.5
2002-05-01,5485.7
2002-06-01,5523.6
2002-07-01,5564.5
2002-08-01,5607.4
2002-09-01,5632.4
2002-10-01,5671.3
2002-11-01,5743.2
2002-12-01,5789.5
2003-01-01,5779.2
2003-02-01,5806.7
2003-03-01,5867.8
2003-04-01,5924.4
2003-05-01,5924.2
2003-06-01,5978.2
2003-07-01,6021.1
2003-08-01,6077.5
2003-09-01,6049.5
2003-10-01,6034.2
2003-11-01,6062.4
2003-12-01,6083.9
2004-01-01,6044.4
2004-02-01,6074.7
2004-03-01,6154.3
2004-04-01,6221.8
2004-05-01,6235.6
2004-06-01,6258.7
2004-07-01,6264.9
2004-08-01,6286.6
2004-09-01,6319.8
2004-10-01,6341.6
2004-11-01,6391.1
2004-12-01,6433.4
2005-01-01,6390.1
2005-02-01,6391.7
2005-03-01,6450.7
2005-04-01,6494.4
2005-05-01,6445.9
2005-06-01,6497.8
2005-07-01,6516.7
2005-08-01,6540.8
2005-09-01,6573.5
2005-10-01,6600.6
2005-11-01,6641.3
2005-12-01,6694.4
2006-01-01,6692.5
2006-02-01,6709.7
2006-03-01,6782.0
2006-04-01,6845.5
2006-05-01,6784.0
2006-06-01,6837.6
2006-07-01,6859.1
2006-08-01,6877.6
2006-09-01,6905.2
2006-10-01,6948.0
2006-11-01,7010.1
2006-12-01,7085.2
2007-01-01,7083.1
2007-02-01,7094.7
2007-03-01,7192.5
2007-04-01,7281.5
2007-05-01,7225.9
2007-06-01,7269.9
2007-07-01,7272.7
2007-08-01,7332.3
2007-09-01,7352.9
2007-10-01,7363.5
2007-11-01,7422.1
2007-12-01,7489.7
2008-01-01,7487.8
2008-02-01,7570.1
2008-03-01,7704.3
2008-04-01,7752.8
2008-05-01,7694.5
2008-06-01,7716.9
2008-07-01,7730.1
2008-08-01,7728.2
2008-09-01,7801.8
2008-10-01,7910.8
2008-11-01,8001.3
2008-12-01,8220.3
2009-01-01,8264.9
2009-02-01,8293.5
2009-03-01,8429.4
2009-04-01,8429.3
2009-05-01,8416.2
2009-06-01,8428.7
2009-07-01,8395.1
2009-08-01,8373.9
2009-09-01,8382.0
2009-10-01,8413.6
2009-11-01,8488.7
2009-12-01,8530.9
2010-01-01,8451.6
2010-02-01,8496.1
2010-03-01,8564.3
2010-04-01,8589.3
2010-05-01,8571.8
2010-06-01,8594.0
2010-07-01,8564.4
2010-08-01,8595.1
2010-09-01,8636.9
2010-10-01,8697.6
2010-11-01,8762.8
2010-12-01,8844.8
2011-01-01,8837.0
2011-02-01,8874.1
2011-03-01,8987.4
2011-04-01,9042.5
2011-05-01,9012.6
2011-06-01,9101.1
2011-07-01,9253.9
2011-08-01,9449.7
2011-09-01,9488.5
2011-10-01,9538.4
2011-11-01,9621.6
2011-12-01,9717.8
2012-01-01,9750.5
2012-02-01,9775.5
2012-03-01,9891.8
2012-04-01,9937.6
2012-05-01,9871.6
2012-06-01,9949.6
2012-07-01,9994.7
2012-08-01,10057.7
2012-09-01,10153.9
2012-10-01,10234.7
2012-11-01,10331.8
2012-12-01,10520.0
2013-01-01,10495.1
2013-02-01,10468.1
2013-03-01,10614.8
2013-04-01,10643.6
2013-05-01,10566.4
2013-06-01,10631.1
2013-07-01,10670.2
2013-08-01,10725.6
2013-09-01,10793.4
2013-10-01,10920.2
2013-11-01,10964.4
2013-12-01,11091.8
2014-01-01,11089.1
2014-02-01,11140.7
2014-03-01,11266.1
2014-04-01,11319.5
2014-05-01,11262.8
2014-06-01,11324.7
2014-07-01,11379.8
2014-08-01,11410.9
2014-09-01,11459.0
2014-10-01,11526.8
2014-11-01,11602.7
2014-12-01,11747.8
2015-01-01,11746.9
2015-02-01,11835.0
2015-03-01,11944.9
2015-04-01,11992.8
2015-05-01,11896.2
2015-06-01,11950.8
2015-07-01,12001.4
2015-08-01,12058.9
2015-09-01,12126.5
2015-10-01,12160.0
2015-11-01,12286.3
2015-12-01,12416.1
2016-01-01,12467.6
2016-02-01,12507.0
2016-03-01,12675.4
2016-04-01,12769.6
2016-05-01,12700.1
2016-06-01,12781.2
2016-07-01,12843.2
2016-08-01,12941.2
2016-09-01,13012.3
2016-10-01,13075.6
2016-11-01,13184.2
2016-12-01,13292.7
2017-01-01,13275.1
2017-02-01,13288.3
2017-03-01,13476.1
2017-04-01,13542.9
2017-05-01,13454.3
2017-06-01,13496.6
2017-07-01,13569.1
2017-08-01,13632.0
2017-09-01,13686.8
2017-10-01,13727.6
2017-11-01,13789.0
2017-12-01,13916.4
2018-01-01,13830.7
2018-02-01,13819.5
